frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id
0001584960,130029,Alaska Telephone Company,1412539197,10,50,10,1,X,AK,022400001001120,880d592141fffff
0004991444,130081,ALASKA COMMUNICATIONS,1015202896,10,10,1,1,R,AK,021220010002012,880c51cd53fffff
0004991444,130081,ALASKA COMMUNICATIONS,1015207926,10,0,0,1,R,AK,021220012001061,880c5155c7fffff
0004991444,130081,ALASKA COMMUNICATIONS,1015218656,10,10,1,1,R,AK,021220002004025,880c55c9abfffff
0004991444,130081,ALASKA COMMUNICATIONS,1015245389,10,10,1,1,R,AK,021220007012003,880c5555b9fffff
0004991444,130081,ALASKA COMMUNICATIONS,1040237972,10,10,1,1,R,AK,021500002001008,880c5ac197fffff
0004991444,130081,ALASKA COMMUNICATIONS,1040238352,10,10,1,1,R,AK,021500002003016,880c5acf5dfffff
0004991444,130081,ALASKA COMMUNICATIONS,1040238410,10,10,1,1,R,AK,021500003001011,880c5acf43fffff
0004991444,130081,ALASKA COMMUNICATIONS,1046981175,10,0,0,1,B,AK,020900016002005,880d5a9501fffffc
0004991444,130081,ALASKA COMMUNICATIONS,1046986878,10,10,1,1,R,AK,020900016001008,880d5a955bfffff
0004991444,130081,ALASKA COMMUNICATIONS,1314978920,10,0,0,1,R,AK,020200023014009,880c733983fffff
0004991444,130081,ALASKA COMMUNICATIONS,1314983509,10,0,0,1,R,AK,020200026031002,880c7338d1fffff
0004991444,130081,ALASKA COMMUNICATIONS,1314990988,10,30,4,1,R,AK,020200026011014,880c7338cbfffff
0004991444,130081,ALASKA COMMUNICATIONS,1314991206,10,0,0,1,R,AK,020200025011007,880c7338e5fffff
0004991444,130081,ALASKA COMMUNICATIONS,1314991226,10,25,20,1,B,AK,020200025011002,880c7338edfffff
0004991444,130081,ALASKA COMMUNICATIONS,1314997447,10,10,1,1,R,AK,020200025023018,880c733889fffff
0004991444,130081,ALASKA COMMUNICATIONS,1314998508,10,0,0,1,R,AK,020200028113005,880c73389dfffff
0004991444,130081,ALASKA COMMUNICATIONS,1315002909,10,10,1,1,R,AK,020200017315002,880c7331e5fffff
0004991444,130081,ALASKA COMMUNICATIONS,1315004273,10,10,1,1,R,AK,020200028212009,880c732101fffff
0004991444,130081,ALASKA COMMUNICATIONS,1315004585,10,10,1,1,R,AK,020200027132010,880c732a5bfffff
0004991444,130081,ALASKA COMMUNICATIONS,1315005815,10,0,0,1,R,AK,020200023044000,880c7338a5fffff
0004991444,130081,ALASKA COMMUNICATIONS,1315008066,10,30,4,1,R,AK,020200017321000,880c7331adfffff
0004991444,130081,ALASKA COMMUNICATIONS,1315008120,10,0,0,1,R,AK,020200024001006,880c73383dfffff
0004991444,130081,ALASKA COMMUNICATIONS,1315009345,10,0,0,1,R,AK,020200018013002,880c7338c9fffff
0004991444,130081,ALASKA COMMUNICATIONS,1315009405,10,25,8,1,R,AK,020200028231009,880c732067fffff
