frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id
0001570936,130067,Arctic Slope Telephone Association Cooperative Inc,1066806408,50,500,150,1,R,AK,021850001001037,880d038a29fffff
0022601603,330010,Fibre Alaska,1374739643,50,100,20,1,X,AK,021050004003144,8813930683fffff
0001573427,130791,Matanuska Telecom Association Inc.,1051680580,50,1000,200,1,R,AK,021700006043018,880c73b927fffff
0001573427,130791,Matanuska Telecom Association Inc.,1051719350,50,1000,200,1,R,AK,021700010011034,880c7384e3fffff
0001573427,130791,Matanuska Telecom Association Inc.,1051720484,50,1000,200,1,R,AK,021700003003024,880c738411fffff
0001573427,130791,Matanuska Telecom Association Inc.,1374728787,50,1000,200,1,R,AK,020200002021014,880c73a999fffff
0001573427,130791,Matanuska Telecom Association Inc.,1374885214,50,1000,200,1,R,AK,021700003002005,880c7386c9fffff
0001584960,130029,Alaska Telephone Company,1064661013,50,1000,100,1,R,AK,022300001001077,8813918881fffff
0001584960,130029,Alaska Telephone Company,1374837406,50,1000,100,1,R,AK,021980002002022,8812b62347fffff
0001584960,130029,Alaska Telephone Company,1374934971,50,1000,100,1,R,AK,022400001002074,880c6418ebfffff
0003800117,130029,"AP&T Wireless, Inc.",1374838740,50,1000,100,1,R,AK,021980002001054,8812b6308dfffff
0004991444,130081,ALASKA COMMUNICATIONS,1046968852,50,2500,2500,1,R,AK,020900004003006,880d5a913bfffff
0004991444,130081,ALASKA COMMUNICATIONS,1046975027,50,1000,100,1,X,AK,020900003003000,880d5a9ad9fffff
0004325148,130275,Ketchikan Public Utilities,1039366113,50,1000,1000,1,X,AK,021300001011007,8812b00703fffff
0001572932,130349,Copper Valley Telephone,1051730216,50,1000,500,1,X,AK,021700002002038,880c7186bbfffff
0001572932,130349,Copper Valley Telephone,1374788263,50,1000,500,1,X,AK,020630003001003,880c441529fffff
0001572932,130349,Copper Valley Telephone,1374788658,50,1000,500,1,X,AK,020630003003033,880c4414e7fffff
0001568880,130534,GCI Communication Corp.,1046997304,50,2500,75,1,X,AK,020900009001019,880d5a99a7fffff
0001568880,130534,GCI Communication Corp.,1051692128,50,2500,75,1,X,AK,021700007013006,880c738ddbfffff
0001568880,130534,GCI Communication Corp.,1374790036,50,2500,75,1,X,AK,020160002002095,8822d0ba67fffff
0001570936,130067,Arctic Slope Telephone Association Cooperative Inc,1066806451,50,500,150,1,R,AK,021850001002020,880d038b19fffff
0001570936,130067,Arctic Slope Telephone Association Cooperative Inc,1066808918,50,500,150,1,R,AK,021850001001036,880d038a29fffff
0001573427,130791,Matanuska Telecom Association Inc.,1051677410,50,1000,500,1,B,AK,021700007033006,880c738ee9fffff
0001573427,130791,Matanuska Telecom Association Inc.,1051677410,50,1000,200,1,R,AK,021700007033006,880c738ee9fffff
0001573427,130791,Matanuska Telecom Association Inc.,1051678193,50,1000,200,1,R,AK,021700006042004,880c73b927fffff
0001573427,130791,Matanuska Telecom Association Inc.,1051679216,50,1000,200,1,R,AK,021700004012010,880c738d01fffff
0001573427,130791,Matanuska Telecom Association Inc.,1051695958,50,1000,200,1,R,AK,021700013002012,880c73b0c9fffff
