frn,provider_id,brand_name,location_id,technology,max_advertised_download_speed,max_advertised_upload_speed,low_latency,business_residential_code,state_usps,block_geoid,h3_res8_id
0018506568,131425,Verizon,1046973411,71,50,6,1,B,AK,020900010002085,880d5a9ab9fffff
0018506568,131425,Verizon,1046975027,71,50,6,1,B,AK,020900003003000,880d5a9ad9fffff
0018506568,131425,Verizon,1046981175,71,50,6,1,B,AK,020900016002005,880d5a9501fffff
0018506568,131425,Verizon,1047017269,71,50,6,1,B,AK,020900012001024,880d5a933bfffff
0018506568,131425,Verizon,1047021163,71,50,6,1,B,AK,020900012002020,880d5a914bfffff
0004991444,130081,ALASKA COMMUNICATIONS,1015202963,71,100,20,1,R,AK,021220011001019,880c51c665fffff
0004991444,130081,ALASKA COMMUNICATIONS,1015209774,71,50,10,1,R,AK,021220007013038,880c554543fffff
0004991444,130081,ALASKA COMMUNICATIONS,1015247957,71,300,100,1,R,AK,021220005002014,880c555711fffff
0004991444,130081,ALASKA COMMUNICATIONS,1374779943,71,100,20,1,R,AK,021220004001023,880c551aa5fffff
0005937974,130077,AT&T,1047015368,71,10,1,1,B,AK,020900012003002,880d5e64dbfffff
0005937974,130077,AT&T,1063333517,71,10,1,1,B,AK,021100005002069,88139e0361fffff
0018506568,131425,Verizon,1046968723,71,50,6,1,B,AK,020900002001027,880d5a9a8dfffff
0018506568,131425,Verizon,1046974476,71,50,6,1,B,AK,020900001002043,880d5a9addfffff
0018506568,131425,Verizon,1046974907,71,50,6,1,B,AK,020900003003000,880d5a9addfffff
0018506568,131425,Verizon,1046999187,71,50,6,1,B,AK,020900013003054,880d5a9a15fffff
0018506568,131425,Verizon,1047003536,71,50,6,1,B,AK,020900007001034,880d5a9aebfffff
0018506568,131425,Verizon,1314938668,71,50,6,1,B,AK,020200027133002,880c732105fffff
0018506568,131425,Verizon,1314960031,71,50,6,1,B,AK,020200021002000,880c73380dfffff
0018506568,131425,Verizon,1374681137,71,50,6,1,B,AK,020900010002056,880d5a91a5fffff
