place_id,place_name,residential_units,tech_type,speed_25_3,speed_100_20,confidence,data_flags
200065,Adak,407,Any Technology,1.0,1.0,HIGH,
200065,Adak,407,All Wired,0.0,0.0,HIGH,NO_WIRED_25MBPS
200065,Adak,407,Cable,0.0,0.0,HIGH,
200065,Adak,407,Fiber,0.0,0.0,HIGH,
200065,Adak,407,All Satellite,1.0,1.0,HIGH,
200065,Adak,407,NGSO Satellite,1.0,1.0,HIGH,SATELLITE_AVAILABLE
200650,Akhiok,47,Any Technology,1.0,1.0,LOW,SMALL_SAMPLE
200650,Akhiok,47,All Wired,0.0,0.0,LOW,NO_WIRED_25MBPS;SMALL_SAMPLE
200650,Akhiok,47,Cable,0.0,0.0,LOW,SMALL_SAMPLE
200650,Akhiok,47,Fiber,0.0,0.0,LOW,SMALL_SAMPLE
200650,Akhiok,47,All Satellite,1.0,1.0,LOW,SMALL_SAMPLE
200650,Akhiok,47,NGSO Satellite,1.0,1.0,LOW,SATELLITE_AVAILABLE;SMALL_SAMPLE
200760,Akiachak,181,Any Technology,1.0,1.0,MEDIUM,
200760,Akiachak,181,All Wired,0.0,0.0,MEDIUM,NO_WIRED_25MBPS
200760,Akiachak,181,Cable,0.0,0.0,MEDIUM,
200760,Akiachak,181,Fiber,0.0,0.0,MEDIUM,
200760,Akiachak,181,All Satellite,1.0,1.0,MEDIUM,
200760,Akiachak,181,NGSO Satellite,1.0,1.0,MEDIUM,SATELLITE_AVAILABLE
200870,Akiak,130,Any Technology,1.0,1.0,MEDIUM,
200870,Akiak,130,All Wired,0.0,0.0,MEDIUM,NO_WIRED_25MBPS
200870,Akiak,130,Cable,0.0,0.0,MEDIUM,
200870,Akiak,130,Fiber,0.0,0.0,MEDIUM,
200870,Akiak,130,All Satellite,1.0,1.0,MEDIUM,
200870,Akiak,130,NGSO Satellite,1.0,1.0,MEDIUM,SATELLITE_AVAILABLE
201090,Akutan,104,Any Technology,1.0,1.0,MEDIUM,
201090,Akutan,104,All Wired,0.980769231,0.980769231,MEDIUM,
201090,Akutan,104,Cable,0.0,0.0,MEDIUM,
201090,Akutan,104,Fiber,0.980769231,0.980769231,MEDIUM,
201090,Akutan,104,All Satellite,1.0,1.0,MEDIUM,
201090,Akutan,104,NGSO Satellite,1.0,1.0,MEDIUM,SATELLITE_AVAILABLE
201200,Alakanuk,225,Any Technology,1.0,1.0,HIGH,
201200,Alakanuk,225,All Wired,0.0,0.0,HIGH,NO_WIRED_25MBPS
201200,Alakanuk,225,Cable,0.0,0.0,HIGH,
201200,Alakanuk,225,Fiber,0.0,0.0,HIGH,
201200,Alakanuk,225,All Satellite,1.0,1.0,HIGH,
201200,Alakanuk,225,NGSO Satellite,1.0,1.0,HIGH,SATELLITE_AVAILABLE
201305,Alatna,23,Any Technology,1.0,1.0,LOW,SMALL_SAMPLE
201305,Alatna,23,All Wired,0.0,0.0,LOW,NO_WIRED_25MBPS;SMALL_SAMPLE
201305,Alatna,23,Cable,0.0,0.0,LOW,SMALL_SAMPLE
201305,Alatna,23,Fiber,0.0,0.0,LOW,SMALL_SAMPLE
201305,Alatna,23,All Satellite,1.0,1.0,LOW,SMALL_SAMPLE
201305,Alatna,23,NGSO Satellite,1.0,1.0,LOW,SATELLITE_AVAILABLE;SMALL_SAMPLE
201390,Alcan Border,22,Any Technology,1.0,1.0,LOW,SMALL_SAMPLE
201390,Alcan Border,22,All Wired,0.0,0.0,LOW,NO_WIRED_25MBPS;SMALL_SAMPLE
201390,Alcan Border,22,Cable,0.0,0.0,LOW,SMALL_SAMPLE
201390,Alcan Border,22,Fiber,0.0,0.0,LOW,SMALL_SAMPLE
201390,Alcan Border,22,All Satellite,1.0,1.0,LOW,SMALL_SAMPLE
201390,Alcan Border,22,NGSO Satellite,1.0,1.0,LOW,SATELLITE_AVAILABLE;SMALL_SAMPLE
201420,Aleknagik,197,Any Technology,1.0,1.0,MEDIUM,
201420,Aleknagik,197,All Wired,0.0,0.0,MEDIUM,NO_WIRED_25MBPS
201420,Aleknagik,197,Cable,0.0,0.0,MEDIUM,
201420,Aleknagik,197,Fiber,0.0,0.0,MEDIUM,
201420,Aleknagik,197,All Satellite,1.0,1.0,MEDIUM,
201420,Aleknagik,197,NGSO Satellite,1.0,1.0,MEDIUM,SATELLITE_AVAILABLE
201560,Aleneva,46,Any Technology,1.0,1.0,LOW,SMALL_SAMPLE
201560,Aleneva,46,All Wired,0.0,0.0,LOW,NO_WIRED_25MBPS;SMALL_SAMPLE
201560,Aleneva,46,Cable,0.0,0.0,LOW,SMALL_SAMPLE
201560,Aleneva,46,Fiber,0.0,0.0,LOW,SMALL_SAMPLE
201560,Aleneva,46,All Satellite,1.0,1.0,LOW,SMALL_SAMPLE
201560,Aleneva,46,NGSO Satellite,1.0,1.0,LOW,SATELLITE_AVAILABLE;SMALL_SAMPLE
201860,Allakaket,135,Any Technology,1.0,1.0,MEDIUM,
201860,Allakaket,135,All Wired,0.0,0.0,MEDIUM,NO_WIRED_25MBPS
201860,Allakaket,135,Cable,0.0,0.0,MEDIUM,
201860,Allakaket,135,Fiber,0.0,0.0,MEDIUM,
201860,Allakaket,135,All Satellite,1.0,1.0,MEDIUM,
201860,Allakaket,135,NGSO Satellite,1.0,1.0,MEDIUM,SATELLITE_AVAILABLE
201970,Ambler,227,Any Technology,1.0,1.0,HIGH,
201970,Ambler,227,All Wired,0.0,0.0,HIGH,NO_WIRED_25MBPS
201970,Ambler,227,Cable,0.0,0.0,HIGH,
201970,Ambler,227,Fiber,0.0,0.0,HIGH,
201970,Ambler,227,All Satellite,1.0,1.0,HIGH,
201970,Ambler,227,NGSO Satellite,1.0,1.0,HIGH,SATELLITE_AVAILABLE
202080,Anaktuvuk Pass,141,Any Technology,1.0,1.0,MEDIUM,
202080,Anaktuvuk Pass,141,All Wired,0.0,0.0,MEDIUM,NO_WIRED_25MBPS
202080,Anaktuvuk Pass,141,Cable,0.0,0.0,MEDIUM,
202080,Anaktuvuk Pass,141,Fiber,0.0,0.0,MEDIUM,
202080,Anaktuvuk Pass,141,All Satellite,1.0,1.0,MEDIUM,
202080,Anaktuvuk Pass,141,NGSO Satellite,1.0,1.0,MEDIUM,SATELLITE_AVAILABLE
203000,Anchorage,136548,Any Technology,1.0,1.0,HIGH,
203000,Anchorage,136548,All Wired,0.972141664,0.964276298,HIGH,
203000,Anchorage,136548,Cable,0.959398893,0.959398893,HIGH,
203000,Anchorage,136548,Fiber,0.056719981,0.050158186,HIGH,
203000,Anchorage,136548,All Satellite,1.0,1.0,HIGH,
203000,Anchorage,136548,NGSO Satellite,1.0,1.0,HIGH,SATELLITE_AVAILABLE
203110,Anchor Point,1837,Any Technology,1.0,1.0,HIGH,
203110,Anchor Point,1837,All Wired,0.005443658,0.0,HIGH,
203110,Anchor Point,1837,Cable,0.0,0.0,HIGH,
203110,Anchor Point,1837,Fiber,0.005443658,0.0,HIGH,
203110,Anchor Point,1837,All Satellite,1.0,1.0,HIGH,
203110,Anchor Point,1837,NGSO Satellite,1.0,1.0,HIGH,SATELLITE_AVAILABLE
203220,Anderson,258,Any Technology,1.0,1.0,HIGH,
203220,Anderson,258,All Wired,0.755813953,0.089147287,HIGH,
203220,Anderson,258,Cable,0.0,0.0,HIGH,
203220,Anderson,258,Fiber,0.0,0.0,HIGH,
203220,Anderson,258,All Satellite,1.0,1.0,HIGH,
203220,Anderson,258,NGSO Satellite,1.0,1.0,HIGH,SATELLITE_AVAILABLE
203440,Angoon,274,Any Technology,1.0,1.0,HIGH,
203440,Angoon,274,All Wired,0.908759124,0.908759124,HIGH,
203440,Angoon,274,Cable,0.908759124,0.908759124,HIGH,
203440,Angoon,274,Fiber,0.0,0.0,HIGH,
203440,Angoon,274,All Satellite,1.0,1.0,HIGH,
203440,Angoon,274,NGSO Satellite,1.0,1.0,HIGH,SATELLITE_AVAILABLE
203550,Aniak,349,Any Technology,1.0,1.0,HIGH,
203550,Aniak,349,All Wired,0.0,0.0,HIGH,NO_WIRED_25MBPS
203550,Aniak,349,Cable,0.0,0.0,HIGH,
203550,Aniak,349,Fiber,0.0,0.0,HIGH,
203550,Aniak,349,All Satellite,1.0,1.0,HIGH,
203550,Aniak,349,NGSO Satellite,1.0,1.0,HIGH,SATELLITE_AVAILABLE
203880,Anvik,99,Any Technology,1.0,1.0,MEDIUM,
203880,Anvik,99,All Wired,0.0,0.0,MEDIUM,NO_WIRED_25MBPS
203880,Anvik,99,Cable,0.0,0.0,MEDIUM,
203880,Anvik,99,Fiber,0.0,0.0,MEDIUM,
203880,Anvik,99,All Satellite,1.0,1.0,MEDIUM,
203880,Anvik,99,NGSO Satellite,1.0,1.0,MEDIUM,SATELLITE_AVAILABLE
