place_id,place_name,residential_units,confidence,any_tech_25mbps_pct,any_tech_100mbps_pct,wired_25mbps_pct,ngso_satellite_25mbps_pct,fiber_25mbps_pct,data_gaps,telehealth_viable,primary_access
200065,Adak,407,HIGH,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
200650,Akhiok,47,LOW,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT;LOW_CONFIDENCE,YES,SATELLITE
200760,Akiachak,181,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
200870,Akiak,130,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
201090,Akutan,104,MEDIUM,1.0,1.0,0.980769231,1.0,0.980769231,NONE,YES,WIRED
201200,Alakanuk,225,HIGH,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
201305,Alatna,23,LOW,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT;LOW_CONFIDENCE,YES,SATELLITE
201390,Alcan Border,22,LOW,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT;LOW_CONFIDENCE,YES,SATELLITE
201420,Aleknagik,197,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
201560,Aleneva,46,LOW,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT;LOW_CONFIDENCE,YES,SATELLITE
201860,Allakaket,135,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
201970,Ambler,227,HIGH,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
202080,Anaktuvuk Pass,141,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
203000,Anchorage,136548,HIGH,1.0,1.0,0.972141664,1.0,0.056719981,NONE,YES,WIRED
203110,Anchor Point,1837,HIGH,1.0,1.0,0.005443658,1.0,0.005443658,LOW_TERRESTRIAL,YES,SATELLITE
203220,Anderson,258,HIGH,1.0,1.0,0.755813953,1.0,0.0,NONE,YES,WIRED
203440,Angoon,274,HIGH,1.0,1.0,0.908759124,1.0,0.0,NONE,YES,WIRED
203550,Aniak,349,HIGH,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
203880,Anvik,99,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
203990,Arctic Village,161,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
204210,Atka,100,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
204430,Atmautluak,129,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
204500,Atqasuk,91,MEDIUM,1.0,1.0,0.802197802,1.0,0.802197802,NONE,YES,WIRED
204670,Attu Station,3,LOW,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT;LOW_CONFIDENCE,YES,SATELLITE
205000,Badger,9812,HIGH,1.0,1.0,0.845189564,1.0,0.003872809,NONE,YES,WIRED
205585,Bear Creek,1082,HIGH,1.0,1.0,0.982439926,1.0,0.002772643,NONE,YES,WIRED
205750,Beaver,81,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
206245,Beluga,76,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
206520,Bethel,2128,HIGH,1.0,1.0,0.972274436,1.0,0.0,NONE,YES,WIRED
206630,Bettles,56,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
206850,Big Delta,523,HIGH,1.0,1.0,0.003824092,1.0,0.0,LOW_TERRESTRIAL,YES,SATELLITE
207070,Big Lake,3274,HIGH,1.0,1.0,0.562614539,1.0,0.062614539,NONE,YES,WIRED
207620,Birch Creek,40,LOW,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT;LOW_CONFIDENCE,YES,SATELLITE
208740,Brevig Mission,153,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
209600,Buckland,160,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
209657,Buffalo Soapstone,495,HIGH,1.0,1.0,0.650505051,1.0,0.161616162,NONE,YES,WIRED
209710,Butte,1646,HIGH,1.0,1.0,0.933778858,1.0,0.188335358,NONE,YES,WIRED
210150,Cantwell,229,HIGH,1.0,1.0,0.637554585,1.0,0.0,NONE,YES,WIRED
211690,Central,150,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
211800,Chalkyitsik,110,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
212350,Chase,156,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
212680,Chefornak,129,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
212920,Chena Ridge,3345,HIGH,1.0,1.0,0.746487294,1.0,0.072346786,NONE,YES,WIRED
212970,Chenega,70,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
213230,Chevak,359,HIGH,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
213340,Chickaloon,305,HIGH,1.0,1.0,0.4,1.0,0.032786885,LOW_TERRESTRIAL,YES,SATELLITE
213450,Chicken,28,LOW,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT;LOW_CONFIDENCE,YES,SATELLITE
213550,Chignik,185,MEDIUM,1.0,1.0,0.994594595,1.0,0.994594595,NONE,YES,WIRED
213670,Chignik Lagoon,188,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
213780,Chignik Lake,74,MEDIUM,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT,YES,SATELLITE
213860,Chiniak,34,LOW,1.0,1.0,0.0,1.0,0.0,SATELLITE_DEPENDENT;LOW_CONFIDENCE,YES,SATELLITE
