community,has_airport,has_road_access,has_water_access,primary_access_modes,latitude,longitude,coastal,cat_tier_level,access_score,tier_justification,harbordock,stateferry,cargobarge,data_collection_date
adak,True,False,False,air,54.243154,-177.699385,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
afognak,False,False,False,no_direct_access,58.01955,-152.767096,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
akhiok,True,False,False,air,56.9472,-154.173756,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
akiachak,True,False,False,air,61.144609,-161.500294,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
akiak,True,False,False,air,61.126516,-161.277843,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
akutan,True,False,True,"air,water",54.133139,-165.777239,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
alakanuk,True,False,False,air,63.121061,-164.808109,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
alatna,False,False,False,no_direct_access,66.618723,-152.686053,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
alcan border,False,True,False,road,63.246211,-140.781656,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
aleknagik,True,False,False,air,59.376776,-158.639156,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
aleneva,False,False,False,no_direct_access,58.015654,-152.87815,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
alexander creek,False,False,False,no_direct_access,61.487344,-150.586321,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
allakaket,True,False,False,air,66.624664,-152.633573,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
alpine,False,False,False,no_direct_access,70.408053,-150.839199,False,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,True,2025-12-20
ambler,True,False,False,air,67.189882,-157.912359,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
anaktuvuk pass,True,False,False,air,68.213804,-151.696576,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
anchor point,True,True,False,"air,road",59.813211,-151.828455,True,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
anchorage,True,True,False,"air,road",61.307351,-149.878303,True,1,75,"Full multimodal access (air,road) including road connectivity",True,False,True,2025-12-20
anderson,False,True,False,road,64.470356,-149.150771,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
andreafsky,False,False,False,no_direct_access,62.381639,-163.283623,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,True,2025-12-20
angoon,True,False,True,"air,water",57.472682,-134.567585,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
aniak,True,False,False,air,61.721039,-159.557153,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
anvik,True,False,False,air,62.826238,-160.242798,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
arctic,True,False,False,air,68.389435,-145.339337,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
atka,True,False,False,air,54.074477,-174.975244,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
atmautluak,True,False,False,air,61.135694,-162.341511,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
atqasuk,True,False,False,air,70.549595,-157.521951,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
attu,False,False,False,no_direct_access,57.65966,-189.887555,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,False,2025-12-20
ayakulik,False,False,False,no_direct_access,57.200395,-154.535732,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
badger,False,True,False,road,64.997916,-147.340762,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
bear creek,True,True,False,"air,road",60.269721,-149.384374,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
beaver,True,False,False,air,66.551816,-147.299699,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
belkofski,False,False,False,no_direct_access,55.35876,-162.107011,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
beluga,True,False,False,air,61.233498,-151.033065,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
bethel,True,False,False,air,61.039875,-161.827671,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
bettles,True,False,False,air,66.999736,-151.475391,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
big delta,False,True,False,road,64.416965,-145.740172,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
big lake,True,True,False,"air,road",61.647509,-149.801153,False,1,75,"Full multimodal access (air,road) including road connectivity",True,False,False,2025-12-20
big salt,False,False,False,no_direct_access,57.445916,-132.289297,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
birch creek,True,False,False,air,66.525952,-145.683051,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
birchwood,True,True,False,"air,road",61.513339,-149.476643,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
boundary,True,True,False,"air,road",64.675353,-140.853206,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
brevig mission,True,False,False,air,65.882372,-166.763163,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
buckland,True,False,False,air,66.192479,-161.231048,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
buffalo soapstone,False,True,False,road,61.813811,-148.986176,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
butte,False,True,False,road,61.662541,-149.011296,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
candle,True,False,False,air,66.164802,-162.048054,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
cantwell,True,True,False,"air,road",63.526121,-148.859703,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
canyon,False,False,False,no_direct_access,67.624268,-141.79385,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
cape lisburne,True,False,False,air,69.344312,-166.620329,True,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
cape yakataga,False,False,False,no_direct_access,60.592851,-142.284116,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
caswell,False,True,False,road,62.110249,-149.953303,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
central,True,True,False,"air,road",65.891149,-144.67402,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
chalkyitsik,True,False,False,air,67.026801,-143.512332,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
chase,False,False,False,no_direct_access,62.543311,-150.031653,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
chatanika,False,True,False,road,65.301309,-147.404225,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
chefornak,True,False,False,air,60.575634,-164.387969,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
chena hot springs,True,True,False,"air,road",65.308467,-145.954357,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
chena ridge,False,True,False,road,64.996635,-147.906638,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
chenega,True,False,True,"air,water",60.063642,-148.008059,True,2,65,"Dual mode access (air,water) without year-round road",True,True,False,2025-12-20
chevak,True,False,False,air,62.042729,-165.748177,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
chickaloon,True,True,False,"air,road",61.939141,-148.44831,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
chicken,True,True,False,"air,road",64.602347,-141.716123,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
chignik,True,False,True,"air,water",56.29602,-158.398863,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
chignik lagoon,True,False,False,air,56.393737,-158.5607,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
chignik lake,True,False,False,air,56.345702,-158.788119,True,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
chiniak,False,False,False,no_direct_access,57.634872,-152.217672,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
chisana,True,False,False,air,62.600624,-141.857688,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
chistochina,True,True,False,"air,road",62.90887,-144.562829,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
chitina,True,True,False,"air,road",61.876786,-144.344199,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
chuathbaluk,True,False,False,air,61.706144,-159.268764,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
chugiak,True,True,False,"air,road",61.473008,-149.515683,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
chuloonawick,False,False,False,no_direct_access,63.342788,-164.308419,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
circle,True,True,False,"air,road",66.190113,-143.887794,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,True,2025-12-20
circle hot springs,True,True,False,"air,road",65.814645,-144.487549,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
clam gulch,True,True,False,"air,road",60.274048,-151.394936,True,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
clark's point,False,False,False,no_direct_access,58.927381,-158.565157,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,True,2025-12-20
clear,True,True,False,"air,road",64.382186,-149.151273,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
