community,has_airport,has_road_access,has_water_access,primary_access_modes,latitude,longitude,coastal,cat_tier_level,access_score,tier_justification,harbordock,stateferry,cargobarge,data_collection_date
adak,True,False,False,air,51.88,-176.6581,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
afognak,False,False,False,no_direct_access,58.0072,-152.7694,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
akhiok,True,False,False,air,56.9456,-154.17,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
akiachak,True,False,False,air,60.9094,-161.4314,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
akiak,True,False,False,air,60.9122,-161.2139,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
akutan,True,False,True,"air,water",54.1331,-165.7731,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
alakanuk,True,False,False,air,62.6856,-164.6156,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
alatna,False,False,False,no_direct_access,66.5528,-152.8272,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
alcan border,False,True,False,road,62.6661,-141.0019,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
aleknagik,True,False,False,air,59.2792,-158.6206,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
aleneva,False,False,False,no_direct_access,58.0616,-152.9083,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
alexander creek,False,False,False,no_direct_access,61.5451,-150.6065,False,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
allakaket,True,False,False,air,66.5524,-152.6203,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
alpine,False,False,False,no_direct_access,70.3234,-150.9786,False,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,True,2025-12-20
ambler,True,False,False,air,67.0861,-157.8514,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
anaktuvuk pass,True,False,False,air,68.1433,-151.735,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
anchor point,True,True,False,"air,road",59.7767,-151.8317,True,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
anchorage,True,True,False,"air,road",61.2181,-149.9003,True,1,75,"Full multimodal access (air,road) including road connectivity",True,False,True,2025-12-20
anderson,False,True,False,road,64.3449,-149.1856,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
andreafsky,False,False,False,no_direct_access,62.0586,-163.1694,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,True,2025-12-20
angoon,True,False,True,"air,water",57.5033,-134.5839,True,2,65,"Dual mode access (air,water) without year-round road",True,True,True,2025-12-20
aniak,True,False,False,air,61.5767,-159.5225,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
anvik,True,False,False,air,62.6535,-160.2133,False,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
arctic,True,False,False,air,66.5625,-145.3194,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
atka,True,False,False,air,52.1967,-174.2006,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
atmautluak,True,False,False,air,60.8617,-162.2725,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
atqasuk,True,False,False,air,70.4811,-157.4208,False,3,40,Single mode access (air) - limited transport options,False,False,False,2025-12-20
attu,False,False,False,no_direct_access,52.9233,172.9117,True,4,0,No direct scheduled access - requires charter or seasonal transport,True,False,False,2025-12-20
ayakulik,False,False,False,no_direct_access,57.1667,-154.55,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
badger,False,True,False,road,64.8069,-147.5339,False,3,35,Single mode access (road) - limited transport options,False,False,False,2025-12-20
bear creek,True,True,False,"air,road",60.1647,-149.3961,False,1,75,"Full multimodal access (air,road) including road connectivity",False,False,False,2025-12-20
beaver,True,False,False,air,66.3592,-147.3964,False,3,40,Single mode access (air) - limited transport options,False,False,True,2025-12-20
belkofski,False,False,False,no_direct_access,55.0883,-162.0319,True,4,0,No direct scheduled access - requires charter or seasonal transport,False,False,False,2025-12-20
beluga,True,False,False,air,61.1411,-151.0828,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
bethel,True,False,False,air,60.7922,-161.7558,True,3,40,Single mode access (air) - limited transport options,True,False,True,2025-12-20
