osm_id,name,facility_type,latitude,longitude,address,phone,website,has_emergency,has_specialists,services,beds,opening_hours,wheelchair,operator
way/60952127,Tanana Valley Clinc,clinic,64.839135,-147.713289,"1001, Noble Street",,,False,False,clinic,,Mo-Fr 08:00-17:00,,
way/129095635,Unknown Facility,hospital,64.420561,-173.241805,,,,False,False,hospital,,,,
way/129095642,Районная больница,hospital,64.420973,-173.241571,"1А, Полярная улица, Провидения",,,False,False,hospital,,,,
way/129095653,Unknown Facility,pharmacy,64.427383,-173.219505,"53/1, улица Набережная Дежнёва",,,False,False,pharmacy,,,,
way/145086381,Unknown Facility,clinic,64.497747,-172.860609,"2, улица Мира",,,False,False,doctors,,,,
way/181375407,Providence Valdez Medical Center,hospital,61.136711,-146.346396,"911, Meals Avenue, Valdez, AK, 99686",+1 907 835 2249,https://alaska.providence.org/locations/p/pvmc,True,False,hospital;emergency,10,,,
way/188008270,Haida Gwaii Hospital and Health Centre,hospital,53.254935,-132.07033,"3209, Oceanview Drive",,,False,True,clinic;hospital;community;general,,,yes,Northern Health
way/199406641,Bartlett Regional Hospital,clinic,58.328865,-134.465113,,,,False,False,doctors,,,,
way/201117801,Clinic of Chiropractic Health,clinic,59.644665,-151.545644,"141, West Pioneer Avenue, Homer, AK, 99603",,,False,True,clinic;chiropractic,,,,
way/202093250,Unknown Facility,clinic,61.842441,-165.578897,,,,False,False,clinic,,,,
way/203423931,Hooper Bay Sub Regional Clinic,clinic,61.527004,-166.112632,,,,False,False,clinic,,,,
way/203717756,Medical Dental Arts Building,clinic,64.830054,-147.743368,,,,False,False,clinic,,,,
way/203717772,Fairbanks Imaging Center,clinic,64.83006,-147.738867,,,,False,False,clinic,,,,
way/203717789,Fairbanks Memorial Hospital,hospital,64.831597,-147.74041,"1650, Cowles Street, Fairbanks, 99701",+1 907 452 8181,http://www.fmhdc.com/,True,False,hospital;emergency,152,,,
way/212602269,Seldovia Village Tribe Health Center,clinic,59.650373,-151.522286,"880, East End Road, Homer, AK, 99603",,,False,False,doctors,,,,
way/212625168,Lamendola Sitenga Clinic,clinic,59.653577,-151.507951,,,,False,False,doctors,,,,
way/212666175,Homer Physical Therapy,clinic,59.649976,-151.518968,"4141, Pennock Street, Homer, AK",,,False,True,clinic;physiatry,,Mo-Fr 09:00-18:00,,
way/217335551,Homer Medical Center,clinic,59.649982,-151.549486,,+1 907-235-8586,https://www.homermedical.org/index.htm,False,False,doctors,,"Mo-Fr 08:30-17:00, Sa 10:00-17:00",,
way/217673717,Women Infants Children (WIC),clinic,59.640181,-151.543908,"3446, Main Street, Homer, AK, 99603",,,False,True,paediatrics;clinic,,,,
way/217781809,Birch Lodge,hospital,60.724739,-135.065601,"6198, Sixth Avenue, Whitehorse, Y1A 5P5",,,False,False,hospital,,,,Yukon Government
way/220680113,Medical Dental Centre,clinic,60.717453,-135.056316,"406, Lambert Street, Whitehorse",,,False,False,doctors,,,,
way/222581964,Adak Hospital & Clinic,clinic,51.873244,-176.63847,,,,False,False,clinic,,,,
way/226764827,Kachemak Professional Building,clinic,59.651069,-151.550811,,,,False,False,doctors,,,,
way/234730206,Clinic,clinic,66.907414,-156.881487,,,,False,False,clinic,,,,
way/238687083,Rockmore King Clinic,clinic,57.741487,-152.50323,,,https://www.dcms.uscg.mil/Our-Organization/Director-of-Operational-Logistics-DOL/Bases/Base-Kodiak/Departments-Staffs/Rockmore-King-Clinic/,False,False,clinic,,,,U.S. Coast Guard
way/239353105,Whitehorse General Hospital,hospital,60.71757,-135.043366,"5, Hospital Road, Whitehorse",,,False,False,hospital,,,,
way/244529547,North Slope Borough Village Health Clinic - Nuiqsut,clinic,70.215512,-151.000347,"413, Nigliq Street, Nuiqsut, AK, 99789",,http://www.north-slope.org/departments/health-social-services/community-health-services/community-health-aide-program-chap,False,False,clinic,,,,North Slope Borough
way/253924738,Shungnak Clinic,clinic,66.887975,-157.138931,,,,False,False,clinic,,,,
way/254035270,Health Clinic,clinic,67.086981,-157.856488,,,,False,False,clinic,,,,
way/254078891,Noorvik Clinic,clinic,66.835234,-161.042303,,,,False,False,clinic,,,,
way/254083062,New Noorvik Clinic,clinic,66.829975,-161.046582,,,,False,False,clinic,,,,
way/255270203,USFS/ Public Health Clinic,clinic,59.545037,-139.729353,,,,False,False,clinic,,,,
way/261003949,Sand Point Clinic,clinic,55.34754,-160.485957,"5001, Red Cove Road, Sand Point, AK, 99661",,,False,False,clinic,,,,
way/265010748,Walgreens,pharmacy,60.485621,-151.056128,,,,False,False,pharmacy,,,,
way/268478985,Unknown Facility,hospital,63.59494,-135.895476,,,,False,False,hospital,,,,
way/268524899,Pelly Crossing Health Centre,clinic,62.826103,-136.573167,,+1-867-537-4444,,False,False,clinic,,,,
way/268526378,Carmacks Health Centre,clinic,62.090307,-136.281134,,+1-867-863-4444,,True,False,clinic;emergency,,Mo-Fr 08:00-16:30,,Yukon Government
way/289968067,Shoppers Drug Mart,pharmacy,60.725213,-135.059847,,,https://www.shoppersdrugmart.ca/en/store-locator/store/298,False,False,pharmacy,,,,
way/293442910,Участковая больница,hospital,66.160174,-169.811986,"25, улица Ленина",,,False,False,hospital,,,,
way/297957175,Mt. Edgecumbe Hospital,hospital,57.051555,-135.354953,"222, Tongass Drive, Sitka, AK, 99835",+1 907 966 2411,https://searhc.org/service/mt-edgecumbe-hospital-saxt-hit/,True,False,hospital;emergency,25,,,SouthEast Alaska Regional Health Consortium
way/298009630,Walgreens,pharmacy,61.577413,-149.407092,,,,False,False,pharmacy,,,,
way/335838570,St. George Clinic,clinic,56.60127,-169.548374,Zapadni Road,,,False,False,clinic,,,,APIA
way/335841002,IRA Building,clinic,65.757358,-168.952164,"Diomede, AK, 99762",,,False,True,clinic;community,,,,
way/336469512,Juneau Urgent Care,clinic,58.362,-134.57282,,,,False,False,doctors,,,,
way/348823187,Frontier Natural Health,clinic,59.651028,-151.517803,"1020, East Road, Homer, AK, 99603",+1 907 235-3665,,False,False,doctors,,,,Dr. Patrick C. Huffman
way/352423199,Mat Su Urgent Care,clinic,61.600082,-149.116964,"209, West Evergreen Avenue, Palmer, AK, 99645",,,False,False,clinic,,,,
way/389605424,Alaska Heart Institute,hospital,61.562917,-149.256106,,,,False,False,hospital,,,,
way/389605434,Providence Health & Services Alaska,hospital,61.559673,-149.251984,,,,False,False,hospital,,,,Providence Health & Services
way/389605435,Imaging Associates of Providence,clinic,61.559907,-149.253308,,,,False,False,clinic,,,,
way/389719870,Mat-Su Regional Medical Center,hospital,61.562681,-149.258424,"2500, South Woodworth Loop, Palmer, 99645",+1 907 861 6000,https://www.matsuregional.com/,True,False,hospital;emergency,74,,,
way/392023892,Steese Immediate Care,clinic,64.854814,-147.680487,"1275, Sadler Way, Fairbanks, 99701",,https://www.steeseimmediatecare.com/,False,False,clinic,,Mo-Fr 8:30-17:00; Sa 10:00-15:00,,
way/392027216,Chief Andrew Isaac Health Center,clinic,64.832244,-147.746111,"1717, West Cowles Street, Fairbanks, A:K, 99701",+1-907-451-6682,https://www.tananachiefs.org/services/health/chief-andrew-isaac-health-center/,False,False,clinic,,Mo-Fr 08:00-17:00,,
way/397379728,Juneau Family Birth Center,clinic,58.331864,-134.465846,,,,False,False,doctors,,,,
way/397379730,SEARHC,clinic,58.331224,-134.467043,,,,False,False,doctors,,,,
way/397379736,SERHC,clinic,58.329762,-134.469218,,,,False,False,doctors,,,,
way/397379752,Planned Parenthood,clinic,58.330299,-134.472762,,,,False,False,clinic,,,,Planned Parenthood
way/409580620,Bartlett Regional Hospital,hospital,58.32887,-134.464581,"3260, Hospital Drive, Juneau, AK, 99801",+1 907 796 8900,https://www.bartletthospital.org/,True,False,hospital;emergency,78,,,
way/423202817,"Dr. Rene Alvarez, General Surgeon",clinic,59.649707,-151.543594,,,,False,False,doctors,,,,
way/431945985,Peninsula Allergy & Asthma Center,clinic,60.482003,-151.070462,,,,False,False,clinic,,,,
way/435795485,Unknown Facility,clinic,55.333626,-131.624367,,,,False,False,clinic,,,,
way/438276213,SEARHC Health Clinic,clinic,56.975224,-133.942518,,,,False,False,clinic,,,,
way/442362513,Unknown Facility,pharmacy,55.35596,-131.692482,,,,False,False,pharmacy,,,,
way/449529338,Norton Sound Regional Hospital,hospital,64.499173,-165.37777,"1000, Greg Kruschek Avenue, Nome, 99762",+1 907 443 3311,https://www.nortonsoundhealth.org/Locations/Norton-Sound-Regional-Hospital,True,False,hospital;emergency,,,,
way/449550160,Providence Alaska Medical Center,hospital,61.186825,-149.820365,"3200, Providence Drive, Anchorage, 99515",+1 907 562 2211,https://alaska.providence.org/locations/p/pamc,True,False,hospital;emergency,401,24/7,,
way/449555028,Alaska Regional Hospital,hospital,61.20968,-149.83084,"2801, Debarr Road, Anchorage, AK, 99508",+1 907 276 1131,https://alaskaregional.com/,True,False,hospital;emergency,250,,,
way/450914877,Unknown Facility,clinic,58.329867,-134.467533,,,,False,False,doctors,,,,
way/450914880,Unknown Facility,clinic,58.329499,-134.467776,,,,False,False,doctors,,,,
way/450914882,Unknown Facility,clinic,58.331019,-134.465095,,,,False,False,clinic,,,,
way/475648643,Susie Husky Health Centre,clinic,68.221761,-135.007218,,,,False,False,clinic,,,yes,
way/480280192,Atka Medical Clinic,clinic,52.200684,-174.197886,,,,False,False,clinic,,,,
way/486696377,Unknown Facility,clinic,61.586393,-149.369786,,,,False,False,clinic,,,,
way/496063321,Cornerstone Health Alaska,clinic,61.137997,-149.842398,,+19075227090,,False,False,clinic,,,,
way/500252069,Health Clinic,clinic,69.74106,-163.012291,,,,False,False,clinic,,,,
way/500279596,Point Hope Health Clinic,clinic,68.34822,-166.736315,"1729, Qalgi Avenue, Point Hope, AK, 99766",+1 907-368-2234,,False,False,clinic,,,,
way/500281513,Unknown Facility,hospital,70.481753,-157.423999,,,,False,False,hospital,,,,
way/503534267,Unknown Facility,clinic,52.938496,-168.859845,,,,False,False,clinic,,,,
way/505343629,Samuel Simmonds Memorial Hospital,hospital,71.297104,-156.730063,"7000, Uula Street, Utkiagvik, AK, 99723",+1 907 852 2762,https://www.arcticslope.org/services/hospital-services/,True,False,hospital;emergency,14,24/7,,Arctic Slope Native Association
way/506877550,"Advanced Biomechanics, Inc.",clinic,60.491827,-151.080282,"215, North Fireweed Street, Soldotna, AK",+1 907-262-1515,https://akbiomech.com/,False,False,clinic,,,,Eric O'Guinn
way/511800417,Homer Birth & Wellness Center,clinic,59.646861,-151.542034,,,,False,False,clinic,,,,
way/511832677,Peace Health Ketchikan Medical Ceneter,hospital,55.353517,-131.686709,"3100, Tongass Avenue, Ketchikan, AK, 99901",,,False,False,hospital,,,,PeaceHealth
way/520311563,Клиника душевно больных,hospital,65.587014,-170.9917,,,,False,False,hospital,,,,
way/520311591,Чукотская районная поликлиника,clinic,65.583603,-171.013216,,,,False,False,clinic,,,,
way/521577965,Anna Livingston Medical Clinic,clinic,55.201061,-162.718125,,,,False,False,clinic,,,,Eastern Aleutian Tribes
way/531324260,Walgreens,pharmacy,61.209299,-149.73944,,,,False,False,pharmacy,,,,
way/532543472,Stikine Regional Health Centre,hospital,58.441837,-129.992198,"48875, BC 37, Dease Lake, V0C 1L0",+1-250-842-4456,https://www.northernhealth.ca/find-a-facility/medical-clinics/stikine-health-centre,True,False,hospital;emergency,,,,
way/539533961,North Star Behavorial Hospital,hospital,61.207817,-149.833579,,,,False,False,hospital,,,,
way/541992000,Niislaa Naay,clinic,54.034222,-132.174226,"347, Eagle Avenue, V0T 1M0",,,False,False,clinic,,,,
way/580285217,South Peninsula Hospital,hospital,59.652293,-151.549976,"4300, Bartlett Street, Homer, 99603",+1 907 235 8101,https://www.sphosp.org/,True,False,hospital;emergency,22,24/7,,
way/580287248,Cordova Community Medical Center,hospital,60.540995,-145.750715,"602, Chase Avenue, Cordova, 99574",+1 907 424 8000,https://www.cdvcmc.com/,True,False,hospital;emergency,23,24/7,,
way/581386468,Katherine Miksruaq Olanna Memorial Clinic,clinic,66.254826,-166.070096,,,,False,False,clinic,,,,Norton Sound Health Corporation
way/586389180,Providence Seward Medical Center,hospital,60.105084,-149.446425,"417, 1st Avenue, Seward, 99664",+1 907 224 5205,https://alaska.providence.org/locations/p/psmcc,True,False,hospital;emergency,6,24/7,,Providence Health & Services
way/586414092,Kanakanak Hospital,hospital,59.000472,-158.536456,"6000, Kanakanak Road, Dillingham, AK, 99576",+1 907 842 5201,http://www.bbahc.org/,True,False,hospital;emergency,16,24/7,,Bristol Bay Area Health Corporation
way/592806011,Akhiok Health Clinic,clinic,56.945418,-154.174206,,+1-907-836-2230,https://kodiakhealthcare.org/,False,False,clinic,,Mo-Fr 08:00-16:30,,Kodiak Area Native Association
way/598178730,Stewart Health Centre,hospital,55.940038,-129.989974,"904, Brightwell Street, Stewart, V0T 1W0",+1-250-636-2221,https://www.northernhealth.ca/find-a-facility/health-units/stewart-health-centre,False,False,hospital,,,,
way/600962971,Mat-Su Urgent Care,clinic,61.515148,-149.62558,"5851, South Knik Goose Bay Road, Wasilla, 99623",,,False,False,clinic,,,,
way/616794251,Joint Base Elmendorf-Richardson Hospital,hospital,61.235668,-149.745438,,,,False,False,hospital,,,,
way/623687923,Alaska Native Medical Center Health Campus,hospital,61.183175,-149.801916,,,,True,False,hospital;emergency,173,,,Alaska Native Medical Center
way/627010919,Family Medical Center,clinic,64.055298,-145.731069,"2360, Remington Road, Delta Junction, AK, 99737",+1 907-895-5100,https://www.fmcak.com/,False,False,clinic,,Mo-Th 08:00-17:00; Fr 08:00-12:00,,
way/636180717,Mat-Su Health Services Medical Clinic,clinic,61.601357,-149.485687,"1363, West Spruce Avenue, Wasilla, AK, 99654",+1 907-376-2411,https://www.mshsak.org/,False,False,clinic,,"Mo-Fr 07:00-17:00, Sa-Su closed",,Mat-Su Health Services Inc.
way/648902642,Unknown Facility,clinic,58.372289,-134.617299,,,,False,False,clinic,,,,
way/655271885,Unknown Facility,clinic,58.329841,-134.470938,,,,False,False,clinic,,,,
way/672943071,Hughes Clinic,clinic,66.043942,-154.255464,,,,False,False,clinic,,,,
way/672960874,Frank Tobuk Sr. Clinic,clinic,66.92444,-151.505556,,,,False,False,clinic,,,,
way/672964333,Alatna Clinic & Washeteria,clinic,66.554525,-152.701416,,,,False,False,clinic,,,,
way/672970198,Allakaket Clinic,clinic,66.546757,-152.645264,,,,False,False,clinic,,,,
way/672977162,Anaktuvuk Pass Health Clinic,clinic,68.142701,-151.733207,,,,False,False,clinic,,,,
way/690882877,Ilanka Community Health Center,clinic,60.542647,-145.757476,"705, Second Street, Cordova, AK, 99574",,http://nveyak.com/ilanka-community-health-center/,False,False,clinic,,,,
