X,Y,OBJECTID,CommunityName,CommunityID,Airport,HarborDock,StateFerry,CargoBarge,RoadConnection,Coastal,Description,AsOfDate
-1537200.80409957,470990.071658981,1,Adak,{C712D789-18CD-4C6C-A0FB-E5B7BB9B1B86},Yes,Yes,No,Yes,No,Yes,"Adak Airport is a State of Alaska owned and maintained certificated airport and has two asphalt paved runways. The community participates in the Essential Air Services program, which helps funds commercial air flights. Alaska Airlines operates passenger and cargo jet service. There are three deep water docks and fueling facilities and additional facilities that service the fishing industry. In 2006, a 315 foot sheet pile dock was installed, and in 2011 dredging of the harbor basin and entrance was completed. In 2014, plans were in place to expand the basin of Sweeper Cove Small Boat Harbor and install moorage floats, vessel haul-out capabilities, new breakwaters and utility services. This project will go forward as funding is secured. There is no harbormaster for the Adak Small Boat Harbor, but there is a private harbormaster for the other docks. Adak has approximately 16 miles of paved roads, as well as gravel and dirt roads.",2023/08/24 08:00:00+00
-1537200.80409957,470990.071658981,2,Adak Station,{A497C6A1-5CD2-4D23-8F63-B8F6B7E98F94},Yes,Yes,No,No,No,Yes,,2023/08/24 08:00:00+00
72481.1057280804,890170.012883828,3,Afognak,{E9058891-286D-4157-9647-CD6050993960},No,No,No,No,No,Yes,Transportation is provided by float plane or boat from Kodiak. Float plane access is found in various areas around the island.,2023/08/24 08:00:00+00
-10519.3318614154,771139.191692125,4,Akhiok,{68670103-A544-40F0-AD9E-7215DEC2434C},Yes,Yes,No,Yes,No,Yes,"Akhiok is accessible by water or air only. The State of Alaska maintains a runway south of town. No crosswind runway or tower services exist and flights are often limited due to severe weather. There is also a floatplane harbor available. Akhiok does not have a deep water dock or boat harbor and no regular barge service is available. One company transports cargo via landing craft as needed. Alitak cannery possesses full docking facilities and residents are able to obtain supplies at the cannery store when the facility is operating. Otherwise, freight is most often moved by small personal craft from off-shore freight vessels or by air.",2023/08/24 08:00:00+00
-401780.778584857,1237051.63336104,5,Akiachak,{D381614D-1B3D-4C01-A916-B139441D4A88},Yes,Yes,No,Yes,No,No,"A state-owned gravel airstrip and public seaplane facility provides scheduled and chartered services year-round to Akiachak. Most transportation within the community is via four-wheelers in the summer and snow machines in the winter. Boats, snow machines, and ATVs are used extensively by locals on the Kuskokwim River. Although no formal boat landing area exists, there is a shallow area, separated from the main channel of the Kuskokwim River by a small isthmus, where boats are hauled up on shore and stored for the winter. Mail is often delivered by hovercraft. Barges deliver bulk fuel and supplies during the summer. Bethel provides full jet service to Anchorage year-round. Road networks are severely limited due to the delta's topography, especially in the summer. The river is used as an ice road during the winter months. A 2011, community plan identified several future projects: a road to provide access to land for housing and other projects, a trail for access to important fishing and subsistence areas, improving current streets, and providing winter trail markings to improve safety of winter travel.",2023/08/24 08:00:00+00
-390087.745779022,1235043.28228904,6,Akiak,{B9E3D976-5DA3-4850-884A-E7818D521898},Yes,No,No,Yes,No,No,"Akiak has a state-owned airport with a gravel runway in good condition. The strip provides chartered or private air access year-round. Several air carriers offer passenger flight service. Snow machines, ATVs, and skiffs are used extensively for local transportation to nearby villages. There are no docking facilities.",2023/08/24 08:00:00+00
-766479.910475392,525927.743350198,7,Akutan,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},Yes,Yes,Yes,Yes,No,Yes,"Akutan is only accessible by boat and amphibious aircraft. The land-based Akutan Airport was opened in September 2012 on Akun Island, and services Akutan by a helicopter. Daily scheduled air service is provided by Grant Aviation from nearby Dutch Harbor/Unalaska, and is subsidized by the Essential Air Service. The state ferry M/V Tustumena serves Akutan on its westbound route to Dutch Harbor and its eastbound route to Homer during the months of April and October. Akutan is the second largest seafood port in north America. Akutan has a 100-foot public dock and a 58-vessel mooring basin and breakwater was completed by the Army Corps of Engineers in September 2013. Trident Seafoods owns several commercial docks. In 2013, the city applied for ARRA funding for a two-mile harbor access road, with the purpose of connecting the village/city of Akutan with the Trident Seafoods shore plant and the harbor.",2023/08/24 08:00:00+00
-542392.68206103,1456437.72182411,8,Alakanuk,{8142710A-7405-430F-9A0B-C44338B4B31A},Yes,Yes,No,Yes,No,Yes,"A state-owned and -managed gravel airstrip is available. Alakanuk is easily accessible from the Yukon River and Bering Sea by barge and riverboat. Most passengers and mail arrive by air. There are no roads connecting Alakanuk with other population centers in the region, but ice roads are used in winter. Snow machines and boats are used for local travel.",2023/08/24 08:00:00+00
57879.5116973947,1844678.29560101,9,Alatna,{88A2EC6A-4FB2-4D64-9FA0-19C13D5A37FB},No,No,No,No,No,No,"Alatna has no road link, but winter trails connect it with Hughes, Bettles, and Tanana. River transportation is important during the summer. A state-owned lighted, runway is accessible year-round in Allakaket. There is no barge service due to shallow water.",2023/08/24 08:00:00+00
660487.360363678,1470329.38068821,10,Alcan Border,{3A2BEA63-41B6-445E-BF20-B04461C94803},No,No,No,No,Yes,No,"The Alcan Highway connects through Whitehorse, Yukon, Canada, to the lower 48 states or through Tok to Fairbanks and Anchorage.",2023/08/24 08:00:00+00
-262308.612461073,1040822.18417894,11,Aleknagik,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},Yes,Yes,No,Yes,No,No,"Aleknagik is the only village in the region with surface access to Dillingham via the 22-mile Aleknagik Lake Road, which was paved in 2004. Regular flights from Dillingham arrive at the New Aleknagik airport. The city owns and operates a 100' dock on the north shore of Aleknagik Lake, which is not road-accessible. A breakwater, barge landing, boat launch ramp and boatlift are also available on the north shore. Moody's Marina serves as a fueling station for boats and seaplanes. Skiffs are used to travel to Dillingham, across the lake. The Lake Aleknagik State Recreation Site on the south shore, the gateway to Wood-Tikchik state parks, has a boat launch and float plane accommodations. An ice road connects north and south shores in the winter. Several barge companies provide lighterage service from Dillingham to Aleknagik via the Wood River. Vehicles, skiffs and ATVs and snow machines are the most frequent means of local transportation.",2023/08/24 08:00:00+00
65959.5057005171,889737.633820026,12,Aleneva,{29D4602C-A471-4961-BBEC-AB22938F5F26},No,No,No,No,No,Yes,There are no roads to Aleneva. Transportation is provided by float plane or boat from Kodiak.,2023/08/24 08:00:00+00
-410419.292109424,612521.081979354,13,Aleutians East Borough,{A09E0C50-C6BB-40A4-BE7F-FDEBE561CD5C},No,Yes,Yes,Yes,No,No,"Several airports are accessible in the borough, and float planes can land in many communities. Marine cargo vessels also provide transportation. The state ferry operates during the summer months. Local transportation is primarily by fishing boats or skiffs, since there are no roads.",2023/08/24 08:00:00+00
180877.748212484,1275095.13493074,14,Alexander Creek,{F3B878CB-1AAF-4507-AFDB-6F4B0A6C751D},No,No,No,No,No,No,,2023/08/24 08:00:00+00
60176.824355894,1845337.73673645,15,Allakaket,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},Yes,No,No,No,No,No,"Allakaket has no road link, but winter trails connect it with Hughes, Bettles, and Tanana. River transportation is important in summer, but there is no commercial barge access due to shallow water. A state-owned gravel runway is accessible year-round.",2023/08/24 08:00:00+00
117646.359142503,2265293.8585107,16,Alpine,{15E0FA55-2267-4960-928D-990DA22C2D43},Yes,Yes,No,Yes,No,No,,2023/08/24 08:00:00+00
-168357.796042103,1908076.86269952,17,Ambler,{E98663F6-E635-4427-85F1-48E3042D196E},Yes,Yes,No,Yes,No,No,"Ambler's major means of transportation are by barge, plane, small boat, and snow machine. There are no roads linking the city to other parts of the state. A state-owned lighted, gravel airstrip, with a gravel crosswind airstrip is located one and a half miles from the city. In addition, daily scheduled services are provided out of Kotzebue, and air taxis provide charter flights. Crowley Marine Services barges fuel and supplies to Ambler each summer. Boats are used for inter-village travel and subsistence activities. ATVs and snow machines are commonly used in winter.",2023/08/24 08:00:00+00
94894.1751459759,2021732.21131396,18,Anaktuvuk Pass,{C8F22DE3-2D24-49CD-A867-3855226D712F},Yes,No,No,No,No,No,"A gravel airstrip is owned and operated by the North Slope Borough and provides Anaktuvuk Pass with year-round access. There is no road to Anaktuvuk Pass, all goods and services are received by air. Snow machines and ATVs are used for local transportation.",2023/08/24 08:00:00+00
121200.627885157,1089266.44100893,19,Anchor Point,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83},Yes,No,No,No,Yes,Yes,"The Sterling Highway provides access to Anchorage. Nearby Homer offers an airport, state ferry access, and docking and boat launching facilities.",2023/08/24 08:00:00+00
