quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,year,quarter,centroid_lat,centroid_lon
0201210121120133,16900.0,15739.0,6.0,56,37,2024,4,61.2187018057119,-149.900207519531
0201210121120311,178245.0,99230.0,4.0,20,14,2024,4,61.2160569139901,-149.900207519531
0201210121120131,267541.0,154.0,15.0,1,1,2024,4,61.2213464751929,-149.900207519531
0201210121120313,70963.0,24930.0,28.0,14,4,2024,4,61.2134118000147,-149.900207519531
0201210121120132,56096.0,41318.0,11.0,2,2,2024,4,61.2187018057119,-149.905700683594
0201210121121022,32149.0,14989.0,17.0,17,10,2024,4,61.2187018057119,-149.894714355469
0201210130113203,268151.0,77120.0,5.0,1,1,2024,4,61.2345664894437,-149.449768066406
0201210130113202,82285.0,5608.0,97.0,1,1,2024,4,61.2345664894437,-149.455261230469
0201210130113022,294500.0,61051.0,5.0,5,4,2024,4,61.2398529399156,-149.455261230469
0201210130112130,90852.0,105024.0,8.0,1,1,2024,4,61.2424958319404,-149.466247558594
0201210130112112,286964.0,161142.0,6.0,2,1,2024,4,61.2451385018419,-149.466247558594
0201210130110311,283628.0,115057.0,2.0,2,1,2024,4,61.2583485199565,-149.460754394531
0201221312211131,227428.0,17728.0,64.0,8,3,2024,4,57.7906247837778,-152.405090332031
0201221312211133,17824.0,5060.0,11.0,3,1,2024,4,57.7876967276591,-152.405090332031
0201221312211130,23145.0,22737.0,6.0,1,1,2024,4,57.7906247837778,-152.410583496094
0201221312211132,16334.0,17107.0,35.0,6,3,2024,4,57.7876967276591,-152.410583496094
0201221312211113,197569.0,37029.0,38.0,3,2,2024,4,57.793552602384,-152.405090332031
0201221312211310,9090.0,7715.0,68.0,1,1,2024,4,57.7847684340162,-152.410583496094
0201210110113013,132994.0,14337.0,10.0,3,3,2024,4,61.5815710756764,-149.438781738281
0201210110113033,16645.0,5823.0,4.0,1,1,2024,4,61.5763421630205,-149.438781738281
0201210110113012,3601.0,2308.0,94.0,1,1,2024,4,61.5815710756764,-149.444274902344
0201210110113102,260139.0,182677.0,6.0,1,1,2024,4,61.5815710756764,-149.433288574219
0201210110113030,429670.0,17710.0,15.0,4,1,2024,4,61.578956729572,-149.444274902344
0201210110113100,12405.0,5312.0,116.0,1,1,2024,4,61.584185201347,-149.433288574219
0201211131321312,96608.0,23903.0,52.0,2,1,2024,4,61.1286507248374,-146.346130371094
0201211131321301,192385.0,36027.0,7.0,7,2,2024,4,61.1313029578126,-146.351623535156
0201211131321303,256689.0,120927.0,71.0,3,3,2024,4,61.1286507248374,-146.351623535156
0201211131321321,21945.0,9541.0,17.0,4,1,2024,4,61.1259982691786,-146.351623535156
0201211131321121,285306.0,358836.0,3.0,6,2,2024,4,61.1366067557643,-146.351623535156
0201211131321332,159705.0,277530.0,23.0,1,1,2024,4,61.1233455908232,-146.346130371094
0201013033310301,118916.0,124114.0,10.0,2,2,2024,4,64.8384293797425,-147.713928222656
0201013033310300,372610.0,17112.0,13.0,1,1,2024,4,64.8384293797425,-147.719421386719
