max_advertised_download_speed,max_advertised_upload_speed,low_latency,block_geoid
500,150,1,2.185E+13
1000,200,1,2.02E+13
1000,200,1,2.17E+13
1000,100,1,2.198E+13
1000,1000,1,2.13E+13
1000,500,1,2.17E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
500,150,1,2.185E+13
500,150,1,2.185E+13
10,1,0,2.016E+13
200,50,1,2.122E+13
2500,75,1,2.15E+13
1000,200,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.02E+13
1000,200,1,2.02E+13
1000,100,1,2.09E+13
1000,100,1,2.09E+13
2500,2500,1,2.09E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
100,30,1,2.185E+13
1000,100,1,2.24E+13
1000,100,1,2.1E+13
1000,100,1,2.24E+13
100,100,1,2.122E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.02E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
2500,75,1,2.188E+13
100,100,1,2.122E+13
500,150,1,2.185E+13
500,150,1,2.185E+13
500,150,1,2.185E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
2500,2500,1,2.02E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,100,1,2.198E+13
2500,75,1,2.15E+13
2500,75,1,2.17E+13
500,150,1,2.185E+13
100,20,1,2.105E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,500,1,2.063E+13
10,1,1,2.05E+13
500,100,1,2.275E+13
1000,100,1,2.1E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,500,1,2.066E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
2500,75,1,2.013E+13
100,20,1,2.105E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
2500,75,1,2.016E+13
2500,75,1,2.013E+13
100,20,1,2.105E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,100,1,2.198E+13
2500,75,1,2.17E+13
10,1,1,2.05E+13
1000,200,1,2.02E+13
2500,75,1,2.15E+13
2500,75,1,2.09E+13
2500,75,1,2.17E+13
1000,100,1,2.198E+13
2500,2500,1,2.09E+13
2500,2500,1,2.09E+13
100,20,1,2.105E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
100,20,1,2.105E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
2500,2500,1,2.09E+13
1000,100,1,2.09E+13
2500,75,1,2.09E+13
2500,75,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,1000,1,2.13E+13
1000,500,1,2.066E+13
100,20,1,2.105E+13
1000,100,1,2.24E+13
1000,100,1,2.24E+13
0,0,1,2.11E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,500,1,2.066E+13
500,150,1,2.185E+13
1000,100,1,2.1E+13
2500,2500,1,2.02E+13
0,0,1,2.02E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.066E+13
1000,100,1,2.198E+13
2500,2500,1,2.02E+13
1000,1000,1,2.13E+13
1000,500,1,2.066E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
50,10,1,2.02E+13
2500,2500,1,2.02E+13
2500,2500,1,2.02E+13
10,1,1,2.05E+13
1000,200,1,2.068E+13
2500,2500,1,2.09E+13
100,30,1,2.185E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.02E+13
1000,200,1,2.02E+13
1000,100,1,2.09E+13
1000,100,1,2.09E+13
100,100,1,2.122E+13
100,30,1,2.185E+13
500,150,1,2.185E+13
500,150,1,2.185E+13
1000,200,1,2.17E+13
2500,2500,1,2.09E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
2500,75,1,2.016E+13
10,1,0,2.016E+13
1000,100,1,2.23E+13
1000,100,1,2.195E+13
1000,100,1,2.198E+13
2500,75,1,2.17E+13
2500,75,1,2.17E+13
2500,75,1,2.17E+13
2500,75,1,2.17E+13
2500,75,1,2.17E+13
1000,200,1,2.02E+13
1000,100,1,2.195E+13
1000,100,1,2.198E+13
1000,100,1,2.24E+13
2500,2500,1,2.09E+13
2500,2500,1,2.09E+13
2500,2500,1,2.09E+13
2500,2500,1,2.02E+13
2500,75,1,2.013E+13
500,150,1,2.185E+13
500,150,1,2.185E+13
1000,100,1,2.09E+13
2500,2500,1,2.02E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
2500,75,1,2.17E+13
100,100,1,2.122E+13
100,30,1,2.185E+13
500,150,1,2.185E+13
500,150,1,2.185E+13
1000,200,1,2.17E+13
1000,100,1,2.198E+13
1000,100,1,2.24E+13
2500,2500,1,2.02E+13
2500,2500,1,2.02E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
2500,75,1,2.188E+13
1000,200,1,2.02E+13
1000,200,1,2.02E+13
1000,200,1,2.17E+13
2500,2500,1,2.09E+13
2500,2500,1,2.09E+13
1000,1000,1,2.13E+13
2500,75,1,2.17E+13
100,100,1,2.122E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
10,1,0,2.016E+13
25,3,1,2.09E+13
500,150,1,2.185E+13
1000,500,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
2500,75,1,2.17E+13
2500,75,1,2.013E+13
2500,75,1,2.17E+13
1000,100,1,2.24E+13
1000,500,1,2.063E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,100,1,2.23E+13
1000,100,1,2.198E+13
1000,100,1,2.24E+13
2500,75,1,2.016E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.02E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,100,1,2.09E+13
2500,2500,1,2.09E+13
2500,75,1,2.17E+13
500,150,1,2.185E+13
500,150,1,2.185E+13
2500,2500,1,2.02E+13
2500,2500,1,2.02E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.02E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
200,50,1,2.02E+13
2500,75,1,2.02E+13
2500,75,1,2.188E+13
1000,100,1,2.09E+13
2500,2500,1,2.09E+13
2500,75,1,2.013E+13
2500,75,1,2.164E+13
100,20,1,2.105E+13
1000,100,1,2.198E+13
2500,75,1,2.15E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,100,1,2.1E+13
1000,100,1,2.198E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,500,1,2.063E+13
1000,500,1,2.066E+13
1000,500,1,2.063E+13
1000,100,1,2.24E+13
1000,100,1,2.198E+13
1000,500,1,2.066E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
10,1,0,2.016E+13
2500,2500,1,2.09E+13
2500,2500,1,2.09E+13
2500,75,1,2.013E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
2500,2500,1,2.02E+13
2500,2500,1,2.02E+13
2500,75,1,2.15E+13
2500,75,1,2.17E+13
10,1,1,2.05E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.063E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,100,1,2.09E+13
2500,2500,1,2.02E+13
1000,1000,1,2.13E+13
10,1,1,2.05E+13
1000,200,1,2.17E+13
1000,100,1,2.24E+13
2500,2500,1,2.09E+13
200,50,1,2.02E+13
2500,75,1,2.016E+13
2500,75,1,2.164E+13
2500,75,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.066E+13
1000,500,1,2.063E+13
1000,100,1,2.198E+13
2500,2500,1,2.02E+13
200,50,1,2.02E+13
1000,500,1,2.063E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,100,1,2.24E+13
1000,100,1,2.195E+13
500,100,1,2.275E+13
1000,100,1,2.195E+13
1000,100,1,2.23E+13
2500,75,1,2.016E+13
2500,75,1,2.013E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,500,1,2.02E+13
1000,200,1,2.02E+13
1000,1000,1,2.13E+13
1000,500,1,2.063E+13
1000,500,1,2.063E+13
1000,500,1,2.066E+13
1000,100,1,2.23E+13
1000,100,1,2.195E+13
1000,100,1,2.198E+13
1000,1000,1,2.13E+13
2500,75,1,2.15E+13
1000,200,1,2.17E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,100,1,2.23E+13
1000,100,1,2.1E+13
2500,2500,1,2.09E+13
10,1,1,2.05E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
2500,2500,1,2.02E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,1000,1,2.13E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,500,1,2.066E+13
1000,500,1,2.063E+13
2500,2500,1,2.02E+13
2500,75,1,2.016E+13
10,1,1,2.05E+13
1000,100,1,2.195E+13
1000,100,1,2.1E+13
1000,100,1,2.09E+13
2500,2500,1,2.09E+13
2500,2500,1,2.02E+13
2500,2500,1,2.02E+13
10,1,1,2.05E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.02E+13
1000,200,1,2.17E+13
2500,2500,1,2.09E+13
2500,2500,1,2.09E+13
2500,2500,1,2.09E+13
2500,2500,1,2.02E+13
1000,1000,1,2.13E+13
1000,500,1,2.066E+13
100,100,1,2.122E+13
1000,500,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
2500,75,1,2.016E+13
2500,75,1,2.013E+13
2500,75,1,2.016E+13
1000,200,1,2.17E+13
2500,2500,1,2.02E+13
1000,100,1,2.09E+13
500,150,1,2.185E+13
1000,200,1,2.17E+13
1000,200,1,2.17E+13
1000,100,1,2.09E+13
2500,2500,1,2.09E+13
